"Label","Text","Token_Length","Avg_Token_Length"
"political_comment"," হ ভা দিন দুপুর বিশ্বজিৎ কুপিয় হত্যা কারীর মার্কা নৌকা ","10","5"
"political_comment"," তা ভোট লাগেনা ","3","5"
"political_comment"," দেখুন কত সুন্দর উন্নয়ন ","4","4"
"political_comment"," আমি নৌকা ভোট দিব না ","5","3"
"political_comment"," হাসিন বাঙ্গা নৌকা ব ব দি দোকা ","7","4"
"political_comment"," মাইর খা কিন্তু কাঁদ পারবিনা মদ্যপ পুরুষ হা এ ধরণ অত্যাচার শিক হ অনেক নারী আ’লীগ এ আর উন্নত মাত্রা সংযোজন কর মাইর খা এবং মাইর খা খা হাস মাইর খা পঙ্গু হ এমনকি মেরুদন্ড গুড়া হ গ হামাগুড়ি দি আর হাস আর উন্নয়ন ঢাকডোল বাজা সুখী দেশ তালিকা আস ব্যাপার সরক সহযোগীতা কর সরক প্রসাশন এবং আইন শৃঙখলা বাহিনীর সুনাম গাই নওশাব জামাইর ষ্টাটাস দাখ প্রথম হাসছিলাম তারপর করুণা হই এখন দু খ লাগত বিচ চা দূর কথা কাঁদ স্বাধীনতাটুকু পর্যন্ত না ","81","5"
"political_comment"," বিরিয়ানি খাইয়া শাহবাগ চিল্লা চিল্ কই দ্বিতী স্বাধীনতা নামি আনছিলা এখন স্বাধীনত ঠেলা সামলাও!মুসলমান হিসাব এ আশা করি শীঘ্র সুস্থ হ উঠুন ","22","5"
"inciteful"," ছাড় দেওয় আগ যা যা বলা হ জনগন সামন বল জন্য এক দাড়ি কমা বাদ দে না এ বল রিমান্ড...😂 জামিন দিল আদালত আর ধন্যবাদ দে হাসিনা বুঝ ঠেলা ","29","4"
"political_comment"," ভা ঐ ছেমরি জান আদালত মান হাসিনা আর হাসিনা মান আদালত বাচ জন্য সবা চেষ্ কর স কর ","18","4"
"political_comment"," ঐ ছেমরি না সুধু বাংল সাধারণ মানুষ ও জান বুঝ হাসিন আদালত ","12","4"
"political_comment"," ফাঁদ পড়িয়া বগা কানদার পু মাছ লোভ ","7","4"
"religious_hatred"," বদর যুদ্ধ কুরাইশ পরাজিত হওয় পর আবু সুফিয়ান প্রশাসন সমস্ত কুরাইশ কান্না করি নিষেধ কর ","15","5"
"political_comment"," মা জননী এ কেমন দাশ জন্ম দিলা মেরুদন্ড ভাঙ দিল হাস হব কান্না করল রাজাকার শামিল ","16","4"
"political_comment"," দু এক উদাহরণ দেখান আমি কিন্তু গালাগা করিনি আপনি গালাগা কর কী কারণ এ বুঝ আপনা চরিত্র কীরকম ","18","5"
"political_comment"," শুন হাসিন জারজ সন্তান আওয়ামীলীগ এর প্রথম ৫ বছর খুন আর সন্ত্রাস তালিকা করল ফেইসবুক এর পাতা কুলোব না অবৈধ ১০ বছর বাদ দিলাম so suck your own ","28","4"
"political_comment"," এত ঔশল কৌশল দরক না যেহেতু প্রমান অা তা BNP ক বাতিল ঘোষণা ক হোক অ অন্যসব দল একত্রিত কর নতুন বিরোধী জোট ঘোষণা ক হোক ","26","4"
"political_comment"," Bahinee বিএনপি এখন তো বিরোধী দল না ঐ গুলা একপ্রক Digital হাদ এর বুঁ হা হা ","16","4"
"political_comment"," খালেদ চালান ছিল ভাঙ্গা সুটকেস আর ত কর্মী ও বদলা চালান হলো গালাগা এছাড়া ব্যা পার কি ","17","4"
"inciteful"," অামি ও খবর জানি বাংলাদেশ বাইর ২ টি জায়গা থ এ দুই পেজ পরিচালনা কর মানুষ বিভ্রান্ত কর জন্য তারেক এ Cash Support দে ","24","4"
"religious_hatred"," মুসলমান হিসাব তুমি আম বোন তা কস্ট হ আল্লাহ কত বড় ইঞ্জিনিয় তুমি ভাব পারব না যা তুমি ৩ বছর আগ সীক করেছো তা তুমি ৩ বছর পর পেয়েছো ","29","3"
"political_comment"," আসল স নিরুপায় এ তৈল মর্দন না করল ত য জামিন হ না রিমান্ড নাম পৈশাচিক আচরণ দিন পর দিন সহ‍্য করত হ আদালত বারান্দায় দৌড় ঝাঁপ বন্ধ হ না কিংবা কারাগার অন্ধক প্রকোষ্ঠ দিন গণনা ক ছাড়া কোন উপায় ছিল না ত ছেয় ঢ ভালো ভালো মান এক তৈল খরিদ করিয়া তেল উপর কোন ঔষধ ন ","56","4"
"political_comment"," মাইর খা ত্প্তির ডোক ছাড় কি লাভ ","7","3"
"political_comment"," যাক আম পক্ষ থ হাসিনা আপা ধন্যবাদ শাহ বাগ স দ্বিতী মুক্তিযোদ্ধা কিছু শিক্ষা দেওয় জন্য ","16","5"
"political_comment"," পেদানির ঠেলা তুমার খাড়া থ বসাইয়া দি হুইল চেয়ার আর তুমি দাদার আদা পড়া শিখাইতেছো ","15","4"
"political_comment"," এ মামু ব্যাপ কিছু দিন আগ ধর্ষণ শিক হয় আওয়ামী নেতা বাবা ডাকিয় ছারলো আর তোর আন্ডা থেরাপি য ভুল না যা ","22","4"
"hate_speech"," হ হ হ হ হ অকথা ন আমি তা পড়েছিলাম ","10","2"
"hate_speech"," হ হ হ হ হ অকথা ন আমি তা পড়েছিলাম ","10","2"
"political_comment"," ভা ঐদিন য আমি বলেছিলাম ডিবি-পুলিশ ও চোদ দি কেউ বিশ্বাস করেননি উল্টো আমা বল গুজব পর দিন জামিন ব হ খোদ স নিজ বল দি তা চোদ দি তখন বিশ্বাস কর যা হোক পুলিশ কিন্তু চোদ মজা নি এসব আমি বলল গুজব মজা ন পুলিশ ","46","4"
"political_comment"," আম তো জানি দেল্লা রাজাক চুদ কাশিমপুর কারাগার ","8","5"
"religious_hatred"," মোহা ইসলাম আম আল্লাহর বিচ মানুষ বুঝেনা য দেশ সম্মানিত আলেম ওলাম জন্য মিথ্যা ধর্ষন অভিন কর গি আজ স নারী যা পক্ষ লাফালাফি কর তা ধর্ষন কর পর জন্য গর্ত খুড়ল স গর্ নিজ ক পর হ নওশাবা ত প্রমান ","41","4"
"inciteful"," উপহাস! করব না আপন উপর আস পারে!তখন কি আম সবা হাসব?বাংলাদেশ আসল ২ ভাগ ভাগ হ গ এ ভয়ংকর!! ","17","5"
"inciteful"," যদি তুমি চুপ থাক তব তুমি বেশ যদি তুমি রূখ দাঁড়াওতুমি বাংলাদেশ ","12","4"
"political_comment"," পুলিশ লীগ মার্কা উন্নয়ন হেই অবৈধ মার্কা ডিজিটাল উন্নয়ন আইন চালু কর দিলা হেই উন্নয়ন মার্কা কথা চায়না জনোগণ ","19","4"
"political_comment"," ব বাংল মানুষ বুঝুক আমা বুঝ বাকি না নওশাবা ও বুঝুক যা তা এতদিন ব্যবহ কর তা আজ প্রয়োজন শেষ এখন ত বিরুদ্ধ লেখালেখি শুরু কর আদালত জামিন দিল দোষ না দিল দোষ হায়র বিএনপি আর কি কর ","38","4"
"hate_speech"," মানুষ নাম জানুয় গুলো বাচ আ সুন বাংলাদাশ দিক্ক জানা স সব কাল পুরুস ","14","4"
"hate_speech"," কোন টিভি নাট য এক ডায়লগ শুনেছিলাম মাইর উপর ভাইটামিন নাই| ত্ ত্রা রেমন প্র্যাদানি দ্রিয়েছ্র য্র ত্র রাসল স্বাভাব বাইর হয়া গ্র ","23","5"
"political_comment"," সামন পিছন বাস এভাব দিছায এখন শুধু বুবু ক মা ডা ","11","3"
"political_comment"," এই আর এমন কি কতদিন আগ এক মা দর্শন হ তা বাব মর্যাদা দিল ","14","3"
"political_comment"," সর্প হইয়া ধংশন করি ওঝা হইয়া ঝারি - বচন মাদ অব নাগিনী ","12","3"
"religious_hatred"," ইসলামি বিচ হল ওর দুচোখ তুল ফ জিৎবা কাট ফ ","10","4"
"religious_hatred"," কোথা পেয় এমন মুসলিম দেশ যেখান দুচোখ তুল ফাল জিহ্বা কাট ফাল আমি তো জানতাম মোদির ভ (মাথা অনবনত) মুসলমান চরমপন্থী হিন্দু এমন পৈশাচিক সাজা দে ","26","5"
"religious_hatred"," উনি ইসলাম ধর্ম কথা বলছ না উনি হেফাজা ইসলাম কথা বলত ","11","4"
"hate_speech"," মাইর খা মানুষ হ ","4","4"
"hate_speech"," তা আসুন আম সবা প্রাণ খুল হাসি ","7","4"
"religious_hatred"," আপন সাহাবাগ বন্ধু গ কোথা আপনিমুস্লিম জাতির কলংক ","7","7"
"political_comment"," আগ শাহবাগ খাইছিলো বিরায়ানি আর এব খাওয়াই বিলানি ","8","5"
"political_comment"," বাকি জিবন আর শাহাবাগ যাইবেননি কন আওয়ামীলীগ হলো দরকার বিরানী বিনাদরকার প ন দ নি ","15","4"
"inciteful"," আমি আব ভয়ানক দরদী আপ জন্য বড্ড কান্দন আহ খা ","10","4"
"hate_speech"," হিতির মারিচ বিতর বাহির অনতর অনতর মারি পাডা পালাইচ ","9","5"
"political_comment"," কোমর ভাঙ কী হইছে? জায়গা জমি সব ঠিক আছে| ","9","4"
"political_comment"," পাকনামির ফল কেমন লাগলো ","4","5"
"hate_speech"," ত চ কারুনবাজ পুরণিমা হল সামন যেপতিতা দেরমত লাগ ","9","5"
"hate_speech"," মাইর খা গুন গা মাগ কান ফা আইমিন মাগনা ","9","4"
"inciteful"," ত মারল ভালো লাগ ","4","4"
"religious_hatred"," লেং পাঠাবলির দিন যদি মুসলমান লেং খেদা তো তখন মুসলমান হ যেত জঙ্গি আর এখন মুসলমানর খেদানো হ তা লেং হ গ সভ্য ","23","4"
"religious_hatred"," মালাউন রা আসল নোরাং জাতি এ পার এ তথাকথিত সৃষ্টকারীর লিঙ্গ ধোয়ায়া পুজা কর এ দেবত কি রুচির মাইরি😂 ","19","5"
"religious_hatred"," রাষ্টিয় ভাব গরুর মাংস বিদাশ রপ্তানি করল ধর্ম নষ্ট হয় না কিন্তু দেশ মানুষ গরু খাল জাত-ধর্ম নষ্ট হয় যায়| খুব ভন্ডামি পূর্ণ এক ধর্ম ব্যবস্থা | কপাল ভাল মাছ ও মুরগি এ দেবতা নয়| তাহল আর খাওয় কিছু পাওয়া যেত না ৷ ","43","4"
"hate_speech"," আমা দাশ অনেক কুত্তা কুলাংগ পতিত বাচ্ছা আ ভারত জন্ন মায়া কান্না কর ","13","5"
"religious_hatred"," হ্যা তো ম কুলাংগার কারণ তো এ অবস্থা কারণ তো ম ধর্ম ব্যাবসায়ী মুখ শান্তিরর কথা বল কিন্তু হিংসা ছড়া দেস দাবানল ম ","23","5"
"religious_hatred"," মালাউন এর শুভাগমন ঘট ","4","5"
"inciteful"," বাংল মানুষ দাখ বুঝ তো দেশ শত্রু সমাজ শত্রু তো সাধিনতা শত্রু ","12","5"
"religious_hatred"," বাংলাদাশ থ ভারত দালা কর না যদি ভালো না লাগ তাহল মালুর রেন্ডিয়া ত চল যা ","16","4"
"religious_hatred"," ঠিক ভা বল ভা কুলাংগ নাস্তিক ","6","5"
"religious_hatred"," মালাউন এর বাচ্ছা এক আস নাম ত শাধিন ","8","4"
"religious_hatred"," মালু ক ধর ধর পাট মত কাট হব ","8","3"
"hate_speech"," তোর মা ছোদি ","3","3"
"religious_hatred"," গরুর মুত খা.. ","3","3"
"religious_hatred"," ও মালুর বাচ্ছা মালু ","4","4"
"religious_hatred"," মালাউন দের ইন্ডিয়া গি খোজ মার ভেবোস্তা হক ","8","4"
"inciteful"," এরকম বা্্লাদাশ ঘটতে বেশি দিন দেরি ন কথা টি আগ সতর্কত জন্য বল দিলাম ","14","4"
"hate_speech"," সিন্ডিকেট মাধ্যম ও চামড় দাম কমা পারে! দেশবাসীর উচিত সিন্ডিকেট কর একব চামড়া বিক্রি বন্ধ রাখা বিক্রি না কর মা চাপা দি দেয়া! অথবা চামড়া সংরক্ষণ পদ্ধতি শিখ নেয়া...-কত গম কত আ হ সে দেখা যেত তাহল ","37","4"
"political_comment"," পঞ্চাশ হাজ এক লাখ টাকা দি কোরবানী কর পারল পাঁচ সাতশত টাকা চামড়া বিক্রি কর চাই পাঁচ সাতশত টাকা নিজ পকেট থ গরিব অসহা ক দান কর চামড়া গুলো পু ফেলা উত্তম হব ","33","4"
"political_comment"," চামড় টাকা কেউ পকাট ফেরত নেয় না গরেব দি দে আর সেক্ষেত্র গরিব মর খা ন্যায্য দাম না পাওয়া ","19","4"
"political_comment"," ১০০ রাইট শুভ ","3","3"
"political_comment"," ওহ বাঙ্গালী আপনা বলতে 50000 থ 500000 ত বেশি বা কম টাকা দি গরু কোরবানী কর পার আর মাত্র 300 টাকা বেশি দি পারব নাএকটাব নিজ পকেট থ বাড়তি 300 টাকা ফকির মিসকিন দি চামড়া মা পু ফে আর চামড়া জু আগ কিন রাখ বাকিটুকু ইতিহাস হ থাক ","48","4"
"hate_speech"," অতিরিক্ত মুনাফ লোভ ব্যবসায়ি যদি সিন্ডিকেট কর গরিব হক নষ্ট কর পাইতা কর তাহল আম ক পার না তা ব্যবসা মা নামা আম সবা যদি তা কা চাম বিক্রি না কর মা পু ফে এবং নিজ পকেট থ গরিব মাজ টাকা বিলি দ তাহল অতি মুনাফা লুভি ধংশ হ বেশি সম লাগব না ","53","4"
"political_comment"," এখন শিল্পমন্ত্রী বাণিজ্য মন্ত্রী এ কোথায় মাইক সামন লম্বা লম্বা ভাষণ দি পার ","13","5"
"political_comment"," পঞ্চাশ হাজ এক লাখ টাকা দি কোরবানী কর পারলেসাতশত টাকা চামড়া বিক্রি কর চাই পাঁচ সাতশত টাকা নিজ পকেট থ গরিব অসহা ক দান কর চামড়া গুলো পু ফেলা উত্তম হব ","31","4"
"inciteful"," সবা শপথ নিন আগামি বছর ইনশাআল্লাহ চামড়া মা পু ফাল গরিব পকেট থ টাকা দি দিব এক লক্ষ টাক গরুর চামড়া মাত্র ৫০০ টাকা বিক্রি করলাম ","26","4"
"political_comment"," গত বছর ও এ বছর চামড়া বিক্রি তো দূর থাক নিজ বস্তা খরচ কর এক মাদ্রাসা ফ্রি পাঠা হয় ","19","3"
"hate_speech"," সাধারন সমস্যা হল ও এ অপর সাথ সাংঘর্ষীক সিন্ডিকে বেলা ঠিক ত বিপরীত ","13","5"
"inciteful"," ভা আম মন কথা বল আসোন সবা মিল এ কাজ টি আগামী বছর থ শুরো করি ","16","3"
"political_comment"," আমা এখান একজন চামড়া টুকরো কর পুঁ ফেল বল ৫০ টাকা মিসকিন ক দি দেব ","15","4"
"religious_hatred"," আজব দেশ গজব কারব এ দাশ সব কিছুর দাম বাড় কূরবানীর গরুর দাম হ আকাশচুম্বী কিন্তু বাড়েনা এতীম মিসকিন হক কুরবানীর গরুর চামড় দাম এক লক্ষ পঁচিশ হাজ টাকা দাম গরুর চামড়া বিক্রি করে মাত্র ৫৫০ টাকা ","37","4"
"hate_speech"," গরুর চামড়া বিক্রি করলাম একশত টাকা পিচ আর ছাগল দশ টাকা পিচ গরিব হক উপর আঘাত ","16","4"
"inciteful"," চাম খা জায়েজ এক বছর বিক্রি না করল সব সোজা হ যাব ","12","3"
"political_comment"," চামড়া বাদ রাখল না ","4","4"
"hate_speech"," আম ম সকল চাম মা পু রাখা উচিৎ ","8","4"
"hate_speech"," মওশুমি চাম ব্যবসায়ী কেউ গরিব না ","6","4"
"political_comment"," malaysia te camra puty faly ","5","4"
"political_comment"," পু ফেলবেন! ভুল যাব না কয়লা কিন্তু মা নিচ জিন ","10","4"
"inciteful"," আজ ছাত্র আন্দোলন কথা খুব মন পড় মোটর সাইকেল নম্বর প্লেট নাই- মাথা হেলমেট নাইঈ ছু বউ বাচ্ছা হা খা বাহির ","21","5"
"hate_speech"," Arafat Rahman ই বাবলু চুর আম ৫০ হাজ টাকা না দি কুরবানি দিল কুরবানি হব না মেসিং দি বল আমা তর বারি নি চছ এবং আমা আগাত কর ৫০ হাজ টাকা রাখ বারি থ বাহির কর দিছছ আর কোন এ বাবলু চুর বাবা মায় নাম বল পার দয়া কর আমা ইনবক্স জানান জমুনা টিভি প্রচ করব আমি দলিল দি ব্যংক থ টাকা লুন এন তা দিছিলাম আর তু আম টকা মার দি চাস কোন ভা যদি অ সামন পান পুলিশ ক খবর দিব আর অ চিটগং অলংক এ থা কোন সাংবাদিক ভা আর পুলিশ ভা এ লেখা পড় থাকল দয়া কর আমা হেল্পপ কর অ আম থেক ৫০হাজ টাকা রাখ বাড়ি থ ব কর দি আর ত প্রতারনা থ সকল সাব্দান হন স মেসিং এর লুভ দেখি আর অনেক জন থেক টকা খে তু কি মন করছিছ আম এ কস্ট টাকা টা এত সহজ মার দি বাসেরকেল্লা সহ আর সকল পত্রিকা অ ছাপানো হব আমি এডমিন দের সাথ কথা বলব আর আপ্ন আমা হেল্প করুনhttps://www.facebook.com/newbasherkella/ এডমিন ভাইয় হেল্প চা অর ছ অর বসা অনেক খারাপ ","176","4"
"political_comment"," এর চিন ৩৮ দাঁত বাহির কর সেলফি দে আব রুডি বানানোর ফটুক দে ফেসবু লীগার অবৈধ মুন্ত্রী মাঝ স নাকি সবচাই ছোড ত চুরির বেলা একদম প্রথম কাতার চো নাসিম শ্রেণীর বল পার নির্বাচনী হলফনামা অনুযায়ী স ৪৩ ভরি স্বর্ণ ব্যবহ কর হ বউ ব্যবহ কর মাত্র ১০৩ ভরিএব আসি আসল কথা দেখ কিভাব তিনজন নি হোন্ডা চালা আইন গাল থাপ্পড় মার আব দেখ হেলমেট না অবশ্য এ সব বল লাভ না য দাশ কিনা রংহেডেড ইচ্ছা আদালত জামিন দে ","80","4"
"political_comment"," মোটর সাইকেল নম্বর প্লেট নাই- মাথা হেলমেট না ঈ ছু বউ বাচ্ছা হা খা বাহির হ বিচি শিষ্ট আই মন্ত্রী পুলক আইন অমান্য করল সমস্যা না ও আওয়ামী মুন্ত্রি ","29","5"
"hate_speech"," সালার ধরি জুতা পিড়া ক দরক ","6","4"
"political_comment"," ক্ষমতা এস সংবাদমাধ্যম স্বাধীনতা দি ইমরান খানক্ষমতা এস দেশ সরকারি সংবাদমাধ্যম পাকিস্তান টিভি এবং রেডি পাকিস্তান পুরোপুরি সম্পাদকী স্বাধীনতা দিল ইমরান খান সরক পাকিস্তান নতুন তথ্য ও সম্প্রচ মন্ত্রী ফাওয়াদ হোস চৌধুরি টুই জানিয় ত মন্ত্রণাল আগামী তিন মাস যাবতী পদক্ষেপ করব নওয়াজ শরিফ সরক এমন প্রতিশ্রতি দি কাজ কাজ হয়নি তব তথ্য ও সম্প্রচ মন্ত্রী জানিয় পাকিস্তান টিভির উপর রাজনৈতিক সেন্সরশিপ বন্ধ কর চান ইমরান খান পি টিভি ও রেডিয়ো পাকিস্তান সম্পাদকী স্বাধীনতা দি আগামী তিন মাস ত মন্ত্রণাল পদক্ষেপ কর চল ইতিমধ্য স্পষ্ট নির্দেশ দি দেয়া হ বল জানিয় তিনি মন্ত্রীর ম এ প্রতিষ্ঠানগু এখন থ আর সরকার ব্যক্তিগত সম্পত্তি হিসাব দেখা হব না পাকিস্তান ইতিবাচক ছ তুল ধরব তা সূত্র:আনন্দবাজ ","110","6"
"political_comment"," রক্ত টান বড় কটিন তা রাজাকার বংশধর এখন পাক প্রেম ছাড় পার না ","13","4"
"political_comment"," রক্ত টান এখান দেখ যুদ্ধ মাত্র তিন বছর পর ছ যখন রক্ত দাগ শুকায়নি নিরীহ বাংলাদেশী অবশ্য মুজিব পরিব জামা আদর ছিল পাকি কা ","24","4"
"political_comment"," স ভোট ডাকাতি কর প্রধান মন্ত্রী হ সেনা সমর্থিত সরক ","10","5"
"political_comment"," পাকিস্তান থাক নাকি ","3","6"
"political_comment"," রাজনীতি চিরস্থায়ী শত্রু মিত্র বল কোন কথা নাই..!! ৭১ এ পাকিস্তানি আমা উপর য অন্যা জুলুম কর সেজন্য আম তাঁ সশস্ত্র সংগ্রাম মাধ্যম বিতাড়িত করেছি! ও তখন আমা শত্রু ছিল! বর্তমান ভারত য অন্যা জুলুম আমা উপর কর তা মিত্র ","40","5"
"political_comment"," মাত্র ৫ টা বছর যদি ইমরান খান দেশ চালা পারে.... তাহল পাকিস্তান বিশ্ব পরাশক্তি হিসাব আবির্ভূত হব ","17","5"
"political_comment"," আমি দুবা থাকি দীর্ঘ দিন দর এখান আমা সাথ পাকিস্তানি দের কথা হ তা আমা ক ভা বল ড়া তা নতুন প্রজর্ম্ম ৭১ এর যুদ্ধ সম্পর্ তেমন জান না অথচ আমা দাশ কিছু নতুন প্রজর্ম্ম খানকীর পোয়া আ তা কথা কথা পাকিস্তানি দের গা দে ","45","4"
"political_comment"," অনেক ইসলামপন্থী ভা ইমরান খান নি অনেক ভালো ভালো পোস্ট দিচ্ছ ইমরান দেশ ভালোবাস এবং পাকিস্তান উন্নত ও অর্থনৈতিকভাব শক্তিশালী রাষ্ট্র বানা স আপ্রাণ চেষ্ করব কোন সন্দেহ না কিন্তু ইসলামপন্থী ভাই য কারণ খুশি স বিষয় বিপরীত ঘটন ","39","5"
"communal_attack"," চুদির পুত ভারত য বাংলাদেশ ক্ষতি করতা সে চোখ পরেনা ৭১ এর পর পাকিস্তান আমা কি কোন ক্ষতি কর দেখছস তো বাপ ভারত আমা পাছা সা জিবন বাশ দে ","28","4"
